transaction_id,account_id,transaction_date,transaction_time,transaction_type,amount,description
1,373,2024-11-26,17:53:16,Deposit,8056.18,"Friend really success though find center compare."
2,1658,2024-08-28,11:31:07,Transfer,2862.50,"Beat decision sound."
3,2195,2021-07-27,03:10:47,Withdrawal,2560.44,"Station fine evidence teach several community."
5,1554,2021-04-30,11:32:24,Deposit,9079.47,"Natural away explain section room red professor lead."
6,1103,2024-09-13,23:18:39,Withdrawal,4567.30,"Determine computer anything operation military represent defense chair."
7,946,2022-05-29,19:58:32,Withdrawal,8210.44,"Full goal design level place tree work."
8,363,2024-02-18,19:50:47,Transfer,1104.26,"Their response its with."
9,1195,2023-06-28,04:44:18,Transfer,8465.24,"Law sound yard feel."
10,1791,2023-10-06,09:50:51,Withdrawal,445.68,"Write generation PM never majority play policy Republican."
11,2168,2024-10-19,22:46:37,Deposit,3936.45,"Us turn protect put then find ten."
12,524,2025-04-12,12:20:35,Deposit,7856.38,"Impact level boy again finish."
13,1142,2023-02-26,08:47:12,Transfer,2697.47,"Between respond way good."
14,1840,2021-04-13,22:12:56,Deposit,5046.66,"Us southern personal but miss somebody paper."
15,2352,2023-09-14,21:29:48,Transfer,4108.08,"Head month agree maintain."
16,768,2024-09-26,23:52:30,Deposit,7147.01,
17,271,2021-07-13,07:14:22,Deposit,2001.03,"Tough statement role think medical politics green."
18,608,2023-11-30,13:22:25,Deposit,3599.20,"Control hospital hear then attorney."
19,853,2021-04-12,00:30:11,Deposit,29.76,"Should loss particular gas east shake take then."
20,2247,2021-07-11,15:21:50,Transfer,3775.26,"Painting those report base."
21,1652,2020-06-20,16:28:12,Withdrawal,2400.33,"Program community relationship allow."
22,20,2024-06-28,17:03:56,Deposit,5166.42,"Call wear half story build."
23,2328,2021-12-31,13:13:02,Deposit,1221.97,"Southern dark federal."
24,11,2025-04-03,23:55:50,Deposit,5800.65,"Foot require western daughter."
25,379,2021-02-25,07:29:32,Withdrawal,5681.50,"Simple bad arm pressure."
26,624,2023-10-27,22:28:34,Deposit,1397.25,"So modern hit thousand."
27,1871,2024-04-30,16:08:38,Transfer,8318.38,"Not manager vote decide."
28,2365,2020-08-18,14:30:13,Transfer,4603.71,"Feeling far people body blood win."
29,184,2021-09-21,07:03:56,Withdrawal,98.97,"Top about us oil cover."
30,1380,2021-05-04,21:25:50,Withdrawal,5437.83,"Prepare soon usually everything according together."
31,337,2023-12-18,00:18:03,Transfer,4258.32,"Body news race reality picture establish important."
32,1592,2021-05-26,21:11:44,Deposit,415.90,"Fast four very doctor."
33,2445,2022-11-08,03:27:22,Transfer,5155.35,"Single store sit."
34,1021,2024-03-17,17:38:30,Withdrawal,1196.22,"Sure role get yeah everybody movie approach."
35,1001,2021-08-01,23:32:42,Withdrawal,833.99,"Rest woman rather can network approach."
36,349,2024-02-24,05:47:13,Withdrawal,933.74,"From large court risk."
37,1513,2022-11-15,00:19:38,Transfer,2598.79,"Go voice Republican open if."
38,2349,2024-08-13,06:15:56,Withdrawal,1509.31,"Assume strong surface whom."
39,1065,2022-02-04,19:22:38,Transfer,130.26,"Decade everybody customer risk bill raise."
40,1327,2024-11-14,19:14:43,Deposit,2784.56,"Forward themselves young young."
41,1829,2022-01-13,21:38:25,Withdrawal,3756.87,"Least draw decision election table."
42,2447,2021-07-12,05:52:16,Withdrawal,2841.00,"Information peace meeting while practice vote create."
43,1120,2021-10-31,21:24:37,Withdrawal,4325.10,"From contain wind language land."
44,220,2023-10-28,18:09:41,Deposit,595.02,"Account discover effort them detail live act month."
45,66,2024-08-30,17:40:40,Deposit,7066.34,"Rock cell consumer bar radio phone civil."
46,376,2020-11-04,20:56:48,Transfer,5074.89,"Activity change product example whole."
